Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
record and play,Firefox 122.0,,,08-02-2024 19:18:19,08-02-2024 19:18:56,37.507s,PASSED
,,,,,,,
Test Cases/TC_Amazon/Record and play back mode/TC_AmazonHome_ValidateCreateNewAC_001,Firefox 122.0,,,08-02-2024 19:18:19,08-02-2024 19:18:39,20.611s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 122.0,,,08-02-2024 19:18:19,08-02-2024 19:18:20,0.675s,ERROR
"openBrowser("""")",Firefox 122.0,,,08-02-2024 19:18:20,08-02-2024 19:18:24,4.120s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Firefox 122.0,,,08-02-2024 19:18:24,08-02-2024 19:18:27,2.861s,PASSED
"click(findTestObject(""Object Repository/AmazonHome_Validate_CreateNewAC_OR/Page_Amazon.com. Spend less. Smile more/span_Hello, sign in""))",Firefox 122.0,,,08-02-2024 19:18:27,08-02-2024 19:18:29,2.064s,PASSED
"click(findTestObject(""Object Repository/AmazonHome_Validate_CreateNewAC_OR/Page_Amazon Sign-In/a_Create your Amazon account""))",Firefox 122.0,,,08-02-2024 19:18:29,08-02-2024 19:18:31,2.402s,PASSED
"setText(findTestObject(""Object Repository/AmazonHome_Validate_CreateNewAC_OR/Page_Amazon Registration/input_customerName""), ""subham"")",Firefox 122.0,,,08-02-2024 19:18:31,08-02-2024 19:18:33,1.517s,PASSED
"setText(findTestObject(""Object Repository/AmazonHome_Validate_CreateNewAC_OR/Page_Amazon Registration/input_email""), ""shubham@gmail.com"")",Firefox 122.0,,,08-02-2024 19:18:33,08-02-2024 19:18:34,1.060s,PASSED
"setEncryptedText(findTestObject(""Object Repository/AmazonHome_Validate_CreateNewAC_OR/Page_Amazon Registration/input_password""), ""tnXB1jbPNDAOVoUnr2O+7A=="")",Firefox 122.0,,,08-02-2024 19:18:34,08-02-2024 19:18:34,0.374s,PASSED
"setEncryptedText(findTestObject(""Object Repository/AmazonHome_Validate_CreateNewAC_OR/Page_Amazon Registration/input_passwordCheck""), ""tnXB1jbPNDAOVoUnr2O+7A=="")",Firefox 122.0,,,08-02-2024 19:18:34,08-02-2024 19:18:35,0.555s,PASSED
"click(findTestObject(""Object Repository/AmazonHome_Validate_CreateNewAC_OR/Page_Amazon Registration/inputcontinue""))",Firefox 122.0,,,08-02-2024 19:18:35,08-02-2024 19:18:37,2.016s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/AmazonHome_Validate_CreateNewAC_OR/Page_Amazon Registration/div_Theres already an account with this ema_a5b427""), 0)",Firefox 122.0,,,08-02-2024 19:18:37,08-02-2024 19:18:38,1.411s,PASSED
closeBrowser(),Firefox 122.0,,,08-02-2024 19:18:38,08-02-2024 19:18:39,1.304s,PASSED
Start listener action : sampleAfterTestCase,Firefox 122.0,,,08-02-2024 19:18:39,08-02-2024 19:18:39,0.070s,ERROR
,,,,,,,
Test Cases/TC_Amazon/Record and play back mode/TC_AmazonHome_Validate_Customer_Service_005,Firefox 122.0,,,08-02-2024 19:18:39,08-02-2024 19:18:56,16.625s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 122.0,,,08-02-2024 19:18:39,08-02-2024 19:18:40,0.076s,ERROR
"openBrowser("""")",Firefox 122.0,,,08-02-2024 19:18:40,08-02-2024 19:18:43,3.126s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Firefox 122.0,,,08-02-2024 19:18:43,08-02-2024 19:18:45,2.739s,PASSED
"click(findTestObject(""Object Repository/AmazonHome_Validate_Customer_Service_OR/Page_Amazon.com. Spend less. Smile more/input_a-button-input""))",Firefox 122.0,,,08-02-2024 19:18:45,08-02-2024 19:18:51,5.886s,PASSED
"click(findTestObject(""Object Repository/AmazonHome_Validate_Customer_Service_OR/Page_Amazon.com. Spend less. Smile more/a_Customer Service""))",Firefox 122.0,,,08-02-2024 19:18:51,08-02-2024 19:18:54,2.315s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/AmazonHome_Validate_Customer_Service_OR/Page_Help  Contact Us - Amazon Customer Service/h1_Welcome to Amazon Customer Service""), 0)",Firefox 122.0,,,08-02-2024 19:18:54,08-02-2024 19:18:54,0.747s,PASSED
closeBrowser(),Firefox 122.0,,,08-02-2024 19:18:54,08-02-2024 19:18:56,1.545s,PASSED
Start listener action : sampleAfterTestCase,Firefox 122.0,,,08-02-2024 19:18:56,08-02-2024 19:18:56,0.070s,ERROR
